"@timestamp",message,"tote_id","location_id"
"May 10, 2023 @ 08:48:10.948","Tote 880000481417 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",880000481417,"Divert_SPS05_HighwayFeeder"
"May 10, 2023 @ 08:48:10.912","Tote 880000441007 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000441007,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:48:10.285","Tote 770000574555 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",770000574555,"Divert_SPS04_HighwayFeeder"
"May 10, 2023 @ 08:48:09.969","Tote 880000491157 arrived at interchange point: Divert_ToteLoop_Recirc3",880000491157,"Divert_ToteLoop_Recirc3"
"May 10, 2023 @ 08:48:09.406","Tote 880000481107 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",880000481107,"Divert_SPS02_HighwayFeeder"
"May 10, 2023 @ 08:48:09.134","Tote 770000535206 arrived at interchange point: Divert_ToteLoop_Recirc5",770000535206,"Divert_ToteLoop_Recirc5"
"May 10, 2023 @ 08:48:08.669","Tote 880000431971 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000431971,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 08:48:08.553","Tote ???????????? arrived at interchange point: Divert_ToteLoop_Recirc4","????????????","Divert_ToteLoop_Recirc4"
"May 10, 2023 @ 08:48:08.339","Tote 770000529671 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",770000529671,"Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 08:48:08.251","Tote ???????????? arrived at autoshuttle divert: Divert_SPS03_HighwayFeeder","????????????","Divert_SPS03_HighwayFeeder"
"May 10, 2023 @ 08:48:07.856","Tote 770000570143 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",770000570143,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 08:48:07.692","Tote 880000446227 arrived at interchange point: Divert_ToteLoop_Recirc3",880000446227,"Divert_ToteLoop_Recirc3"
