"@timestamp",message,"tote_id","location_id"
"Nov 16, 2022 @ 14:56:16.144","Tote 880000415762 arrived at interchange point: Divert_ToteLoop_Recirc3",880000415762,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 14:56:14.968","Tote 880000482537 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",880000482537,"Divert_SPS05_HighwayFeeder"
"Nov 16, 2022 @ 14:56:14.967","Tote 770000536778 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000536778,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:56:13.675","Tote 880000483607 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000483607,"Divert_SPS01_HighwayFeeder"
"Nov 16, 2022 @ 14:56:12.786","Tote 880000466247 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000466247,"Divert_SPS09_HighwayFeeder"
"Nov 16, 2022 @ 14:56:11.650","Tote ???????????? arrived at discharge point: Divert_ToteLoop_Discharge2","????????????","Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 14:56:10.917","Tote 880000409619 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000409619,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:56:10.757","Tote 880000491464 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000491464,"Divert_SPS01_HighwayFeeder"
"Nov 16, 2022 @ 14:56:10.420","Tote 880000425877 arrived at interchange point: Divert_ToteLoop_Recirc1",880000425877,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:56:09.291","Tote 880000491451 arrived at autoshuttle divert: Divert_SPS06_HighwayFeeder",880000491451,"Divert_SPS06_HighwayFeeder"
"Nov 16, 2022 @ 14:56:09.288","Tote 770000531101 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",770000531101,"Divert_SPS09_HighwayFeeder"
"Nov 16, 2022 @ 14:56:09.155","Tote 880000487697 arrived at discharge point: Divert_ToteLoop_Discharge1",880000487697,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:56:07.915","Tote 880000448977 arrived at interchange point: Divert_ToteLoop_Recirc2",880000448977,"Divert_ToteLoop_Recirc2"
"Nov 16, 2022 @ 14:56:06.613","Tote 880000490257 arrived at interchange point: Divert_ToteLoop_Recirc4",880000490257,"Divert_ToteLoop_Recirc4"
"Nov 16, 2022 @ 14:56:06.483","Tote 880000415622 arrived at discharge point: Divert_ToteLoop_Discharge2",880000415622,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 14:56:05.819","Tote 880000415737 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000415737,"Divert_SPS04_HighwayFeeder"
"Nov 16, 2022 @ 14:56:05.683","Tote 880000460627 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000460627,"Divert_SPS09_HighwayFeeder"
"Nov 16, 2022 @ 14:56:05.251","Tote 880000472367 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",880000472367,"Divert_SPS02_HighwayFeeder"
"Nov 16, 2022 @ 14:56:05.185","Tote 880000448837 arrived at interchange point: Divert_ToteLoop_Recirc2",880000448837,"Divert_ToteLoop_Recirc2"
"Nov 16, 2022 @ 14:56:05.031","Tote 880000439224 arrived at interchange point: Divert_ToteLoop_Recirc1",880000439224,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:56:04.930","Tote 880000491656 arrived at discharge point: Divert_ToteLoop_Discharge1",880000491656,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:56:04.128","Tote 880000487717 arrived at discharge point: Divert_ToteLoop_Discharge2",880000487717,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 14:56:03.955","Tote 880000441207 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000441207,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:56:03.681","Tote 880000407281 arrived at interchange point: Divert_ToteLoop_Recirc4",880000407281,"Divert_ToteLoop_Recirc4"
"Nov 16, 2022 @ 14:56:03.563","Tote 880000442877 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000442877,"Divert_SPS07_HighwayFeeder"
"Nov 16, 2022 @ 14:56:03.497","Tote 880000490257 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",880000490257,"Divert_SPS08_HighwayFeeder"
"Nov 16, 2022 @ 14:56:02.593","Tote 880000490527 arrived at autoshuttle divert: Divert_SPS06_HighwayFeeder",880000490527,"Divert_SPS06_HighwayFeeder"
"Nov 16, 2022 @ 14:56:02.391","Tote 880000491202 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000491202,"Divert_SPS04_HighwayFeeder"
"Nov 16, 2022 @ 14:56:01.732","Tote 770000587107 arrived at interchange point: Divert_ToteLoop_Recirc1",770000587107,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:56:01.728","Tote 770000545838 arrived at discharge point: Divert_ToteLoop_Discharge1",770000545838,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:56:01.185","Tote 770000509129 arrived at interchange point: Divert_ToteLoop_Recirc4",770000509129,"Divert_ToteLoop_Recirc4"
"Nov 16, 2022 @ 14:56:00.641","Tote 880000407281 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",880000407281,"Divert_SPS08_HighwayFeeder"
"Nov 16, 2022 @ 14:55:59.527","Tote 880000428386 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",880000428386,"Divert_SPS05_HighwayFeeder"
"Nov 16, 2022 @ 14:55:58.885","Tote 880000430285 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000430285,"Divert_SPS04_HighwayFeeder"
"Nov 16, 2022 @ 14:55:58.509","Tote 880000404069 arrived at interchange point: Divert_ToteLoop_Recirc1",880000404069,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:55:58.282","Tote 880000402979 arrived at interchange point: Divert_ToteLoop_Recirc3",880000402979,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 14:55:58.180","Tote 880000415323 arrived at discharge point: Divert_ToteLoop_Discharge2",880000415323,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 14:55:58.179","Tote 770000536778 arrived at discharge point: Divert_ToteLoop_Discharge1",770000536778,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:55:58.113","Tote 770000509129 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",770000509129,"Divert_SPS08_HighwayFeeder"
"Nov 16, 2022 @ 14:55:57.184","Tote 770000506346 arrived at interchange point: Divert_ToteLoop_Recirc2",770000506346,"Divert_ToteLoop_Recirc2"
"Nov 16, 2022 @ 14:55:56.993","Tote 770000197687 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000197687,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:55:56.389","Tote 880000480067 arrived at interchange point: Divert_ToteLoop_Recirc6",880000480067,"Divert_ToteLoop_Recirc6"
"Nov 16, 2022 @ 14:55:56.208","Tote 880000481167 arrived at discharge point: Divert_ToteLoop_Discharge1",880000481167,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:55:56.208","Tote 880000491117 arrived at discharge point: Divert_ToteLoop_Discharge2",880000491117,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 14:55:55.425","Tote 880000483607 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",880000483607,"Divert_SPS02_HighwayFeeder"
"Nov 16, 2022 @ 14:55:54.972","Tote 770000531101 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000531101,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:55:54.775","Tote 880000491451 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000491451,"Divert_SPS07_HighwayFeeder"
"Nov 16, 2022 @ 14:55:53.484","Tote 880000403268 arrived at interchange point: Divert_ToteLoop_Recirc1",880000403268,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 14:55:53.092","Tote 880000466247 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000466247,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 14:55:52.744","Tote 880000480067 arrived at autoshuttle divert: Divert_SPS03_HighwayFeeder",880000480067,"Divert_SPS03_HighwayFeeder"
"Nov 16, 2022 @ 14:55:52.103","Tote 880000448737 arrived at interchange point: Divert_ToteLoop_Recirc5",880000448737,"Divert_ToteLoop_Recirc5"
"Nov 16, 2022 @ 14:55:51.765","Tote 770000598271 arrived at interchange point: Divert_ToteLoop_Recirc3",770000598271,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 14:55:51.106","Tote 880000415622 arrived at discharge point: Divert_ToteLoop_Discharge1",880000415622,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 14:55:49.841","Tote 880000415737 arrived at autoshuttle divert: Divert_SPS05_HighwayFeeder",880000415737,"Divert_SPS05_HighwayFeeder"
"Nov 16, 2022 @ 14:55:49.741","Tote 880000442877 arrived at interchange point: Divert_ToteLoop_Recirc4",880000442877,"Divert_ToteLoop_Recirc4"
"Nov 16, 2022 @ 14:55:48.808","Tote 880000428386 arrived at interchange point: Divert_ToteLoop_Recirc2",880000428386,"Divert_ToteLoop_Recirc2"
"Nov 16, 2022 @ 14:55:48.806","Tote 880000487717 arrived at discharge point: Divert_ToteLoop_Discharge1",880000487717,"Divert_ToteLoop_Discharge1"
