@timestamp,message,system_name
"May 5, 2023 @ 13:29:19.405",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS08_HighwayFeeder,sps08
"May 5, 2023 @ 13:28:50.644",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS09_HighwayFeeder,sps09
"May 5, 2023 @ 13:28:17.236",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS10_HighwayFeeder,sps10
"May 5, 2023 @ 13:27:43.351",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 13:27:43.350",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 13:27:12.914",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:27:12.913",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:26:07.907",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:26:07.907",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:25:48.306",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 13:25:29.083",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 13:25:06.772",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:25:06.771",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:24:16.470",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:24:16.469",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:24:02.478",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 13:23:48.219",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 13:23:26.399",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:23:26.399",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:22:35.492",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:22:35.492",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:22:21.425",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 13:22:07.358",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 13:21:54.051",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 13:21:54.051",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 13:21:50.809",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS08_HighwayFeeder,sps08
"May 5, 2023 @ 13:21:21.191",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS09_HighwayFeeder,sps09
"May 5, 2023 @ 13:20:40.559",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS10_HighwayFeeder,sps10
"May 5, 2023 @ 13:20:16.196",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 13:20:16.196",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 13:19:28.369",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 13:19:28.369",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 13:19:24.087",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS08_HighwayFeeder,sps08
"May 5, 2023 @ 13:19:03.769",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS09_HighwayFeeder,sps09
"May 5, 2023 @ 13:18:49.462",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS10_HighwayFeeder,sps10
"May 5, 2023 @ 13:18:33.063",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 13:18:33.063",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 13:17:59.451",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:17:59.450",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:16:15.615",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc2,-
"May 5, 2023 @ 13:16:15.614",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc2,-
"May 5, 2023 @ 13:15:15.055",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc1,-
"May 5, 2023 @ 13:15:15.055",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc1,-
"May 5, 2023 @ 13:14:17.999",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS01_HighwayFeeder,sps01
"May 5, 2023 @ 13:14:02.289",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS02_HighwayFeeder,sps02
"May 5, 2023 @ 13:13:50.206",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc6,-
"May 5, 2023 @ 13:13:50.206",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc6,-
"May 5, 2023 @ 13:13:32.975",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS04_HighwayFeeder,sps04
"May 5, 2023 @ 13:13:18.485",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS05_HighwayFeeder,sps05
"May 5, 2023 @ 13:12:56.592",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc2,-
"May 5, 2023 @ 13:12:56.592",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc2,-
"May 5, 2023 @ 13:11:48.369",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc6,-
"May 5, 2023 @ 13:11:48.368",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc6,-
"May 5, 2023 @ 13:11:31.297",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS04_HighwayFeeder,sps04
"May 5, 2023 @ 13:11:16.872",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS05_HighwayFeeder,sps05
"May 5, 2023 @ 13:11:06.364",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc2,-
"May 5, 2023 @ 13:11:06.364",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc2,-
