"@timestamp",message,"system_name"
"Nov 16, 2022 @ 10:18:58.439","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:18:07.968","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:18:07.968","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:17:09.723","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 10:16:53.763","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 10:16:39.047","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:16:39.046","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:16:35.408","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 10:16:16.993","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 10:16:01.139","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 10:15:50.405","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:15:50.405","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
"Nov 16, 2022 @ 10:14:59.971","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:14:59.971","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc1","-"
"Nov 16, 2022 @ 10:14:01.227","Divert decision (False) for 770000608798 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 16, 2022 @ 10:13:45.209","Divert decision (False) for 770000608798 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 16, 2022 @ 10:13:30.504","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:13:30.504","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc6","-"
"Nov 16, 2022 @ 10:13:26.924","Divert decision (False) for 770000608798 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 16, 2022 @ 10:12:56.501","Divert decision (True) for 770000608798 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 16, 2022 @ 10:12:40.535","Divert decision (False) for 770000608798 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 16, 2022 @ 10:12:28.518","Divert decision (False) for 770000608798 @ Divert_ToteLoop_Recirc2","-"
