"@timestamp",message
"Nov 10, 2022 @ 13:16:24.888","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:16:24.887","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:16:15.345","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:16:15.345","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:15:58.323","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 13:15:58.323","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 13:14:35.991","Divert decision (False) for 31257975 @ Divert_SPS02_HighwayFeeder"
"Nov 10, 2022 @ 13:14:32.030","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:14:32.029","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:11:04.320","Divert decision (False) for 31257975 @ Divert_SPS08_HighwayFeeder"
"Nov 10, 2022 @ 13:10:48.343","Divert decision (False) for 31257975 @ Divert_SPS06_HighwayFeeder"
"Nov 10, 2022 @ 13:10:32.834","Divert decision (False) for 31257975 @ Divert_SPS04_HighwayFeeder"
"Nov 10, 2022 @ 13:10:15.983","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:10:15.983","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:06:52.193","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:06:52.193","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:06:14.350","Divert decision (False) for 31257975 @ Divert_SPS03_HighwayFeeder"
"Nov 10, 2022 @ 13:05:06.879","Divert decision (False) for 31257975 @ Divert_SPS07_HighwayFeeder"
"Nov 10, 2022 @ 13:03:47.130","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:03:47.130","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:03:37.587","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:03:37.586","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:03:24.663","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:03:24.662","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:03:00.005","Divert decision (False) for 31257975 @ Divert_SPS03_HighwayFeeder"
"Nov 10, 2022 @ 13:02:29.603","Divert decision (False) for 31257975 @ Divert_SPS07_HighwayFeeder"
"Nov 10, 2022 @ 13:01:29.094","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:01:29.094","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
